name;instance_size;time;memory;min_path;path;real result;real path
matrix_my_4;4;0;;38;[0, 1, 2, 0];38; [0, 1, 2, 3, 0]
matrix_my_5;5;0,004457474;;42;[0, 1, 4, 3, 0];42; [0, 1, 4, 3, 2, 0]
matrix6_1;6;0,001995325;;132;[0, 1, 2, 3, 4, 0];132; [0, 1, 2, 3, 4, 5, 0]
matrix6_2;6;0,000998497;;80;[0, 5, 1, 2, 3, 0];80; [0, 5, 1, 2, 3, 4, 0]
matrix10;10;1,93148613;;212;[0, 3, 4, 2, 8, 7, 6, 9, 1, 0];212; [0, 3, 4, 2, 8, 7, 6, 9, 1, 5, 0]
;;;;;;;
matrix_my_4;4;0,000999451;;38;[0, 1, 2, 0];38; [0, 1, 2, 3, 0]
matrix_my_5;5;0,000998735;;42;[0, 1, 4, 3, 0];42; [0, 1, 4, 3, 2, 0]
matrix6_1;6;0,002349615;;132;[0, 1, 2, 3, 4, 0];132; [0, 1, 2, 3, 4, 5, 0]
matrix6_2;6;0,001994133;;80;[0, 5, 1, 2, 3, 0];80; [0, 5, 1, 2, 3, 4, 0]
matrix10;10;1,825167656;;212;[0, 3, 4, 2, 8, 7, 6, 9, 1, 0];212; [0, 3, 4, 2, 8, 7, 6, 9, 1, 5, 0]
matrix_my_11;11;21,69442797;;251;[0, 1, 8, 4, 6, 2, 9, 7, 5, 3, 0];251; [0, 1, 8, 4, 6, 2, 9, 7, 5, 3, 10, 0]
;;;;;;;
matrix_my_4;4;0;;38;[0, 1, 2, 0];38; [0, 1, 2, 3, 0]
matrix_my_5;5;0;;42;[0, 1, 4, 3, 0];42; [0, 1, 4, 3, 2, 0]
matrix6_1;6;0;;132;[0, 1, 2, 3, 4, 0];132; [0, 1, 2, 3, 4, 5, 0]
matrix6_2;6;0,015608311;;80;[0, 5, 1, 2, 3, 0];80; [0, 5, 1, 2, 3, 4, 0]
matrix10;10;1,628792048;;212;[0, 3, 4, 2, 8, 7, 6, 9, 1, 0];212; [0, 3, 4, 2, 8, 7, 6, 9, 1, 5, 0]
matrix_my_11;11;18,75473619;;251;[0, 1, 8, 4, 6, 2, 9, 7, 5, 3, 0];251; [0, 1, 8, 4, 6, 2, 9, 7, 5, 3, 10, 0]
matrix12;12;393,5981441;;264;[0, 1, 8, 4, 6, 2, 11, 9, 7, 5, 3, 0];264; [0, 1, 8, 4, 6, 2, 11, 9, 7, 5, 3, 10, 0]
;;;;;;;
matrix_my_4;4;0,015589237;;38;[0, 1, 2, 0];38; [0, 1, 2, 3, 0]
matrix_my_5;5;0;;42;[0, 1, 4, 3, 0];42; [0, 1, 4, 3, 2, 0]
matrix6_1;6;0;;132;[0, 1, 2, 3, 4, 0];132; [0, 1, 2, 3, 4, 5, 0]
matrix6_2;6;0,015616655;;80;[0, 5, 1, 2, 3, 0];80; [0, 5, 1, 2, 3, 4, 0]
matrix10;10;1,509123802;;212;[0, 3, 4, 2, 8, 7, 6, 9, 1, 0];212; [0, 3, 4, 2, 8, 7, 6, 9, 1, 5, 0]
matrix_my_11;11;17,64166546;;251;[0, 1, 8, 4, 6, 2, 9, 7, 5, 3, 0];251; [0, 1, 8, 4, 6, 2, 9, 7, 5, 3, 10, 0]
;;;;;;;
matrix_my_4;4;0;;38;[0, 1, 2, 0];38; [0, 1, 2, 3, 0]
matrix_my_5;5;0,01562047;;42;[0, 1, 4, 3, 0];42; [0, 1, 4, 3, 2, 0]
matrix6_1;6;0,031245232;;132;[0, 1, 2, 3, 4, 0];132; [0, 1, 2, 3, 4, 5, 0]
matrix6_2;6;0,015619993;;80;[0, 5, 1, 2, 3, 0];132; [0, 1, 2, 3, 4, 5, 0]
